Title,Rating,Votes,Duration,Genre
Mahadev Ka Gorakhpur,7.8,368,131.0,Action
Ballistic,2.3,161,95.0,Action
The Experts,6.2,262,121.0,Action
The Miranda Brothers,4.4,189,99.0,Action
They Call Her Death,6.5,25,92.0,Action
Midas,4.6,337,85.0,Action
Anunnakiler,2.5,443,76.0,Action
Case Files,6.28638956805216,0,,Action
Sikaar,8.3,676,150.0,Action
Correr para Vivir,7.0,195,97.0,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.2,450,72.0,Action
Mirza: Part 1 - Joker,6.8,237,165.0,Action
The Artifact,6.28638956805216,0,108.0,Action
Fighting the Fire,8.6,1,115.0,Action
Next to Us,4.9,221,125.0,Action
Samandar,7.6,137,172.0,Action
Ship of the Damned,2.8,295,88.0,Action
Zoloto Umalty,4.9,108,109.0,Action
Thundu,5.0,903,125.0,Action
Operation Valentine,5.3,1,133.0,Action
Ameena,6.3,18,107.0,Action
Zebra,8.0,3,164.0,Action
Six jours,6.4,99,95.0,Action
Aserb: The Squadron,5.2,303,120.0,Action
The Mick and the Trick,5.0,75,96.0,Action
Bachhala Malli,8.3,3,140.0,Action
Texas Twister,2.5,157,88.0,Action
Ghost Killer,7.1,62,105.0,Action
Drive,5.6,321,90.0,Action
Shark Island,4.0,114,81.0,Action
Red vs. Blue: Restoration,5.6,136,85.0,Action
Prepare to Die,4.6,232,93.0,Action
Agastya - Chapter 1,7.0,595,168.0,Action
Gold Raiders,2.0,183,88.0,Action
Anchakkallakokkan,6.6,1,126.0,Action
The Heist,6.9,2,120.0,Action
The Legend Hunters,5.5,29,,Action
Angel of the Warrior,8.5,134,90.0,Action
Blade of Fury,6.1,116,90.0,Action
Mission: Chapter 1,5.9,1,144.0,Action
Sheriff,6.9,1,133.0,Action
Game On,5.3,2,140.0,Action
Ape X Mecha Ape: New World Order,2.8,134,87.0,Action
Road Wars: Max Fury,2.0,350,83.0,Action
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,17,90.0,Action
The Waiter,8.1,22,,Action
Mister Gates,8.8,27,,Action
Bhaiyya Ji,4.8,7,150.0,Action
Breaking and Re-entering,5.8,440,109.0,Action
The Omicron Killer,2.9,594,98.0,Action
Indrani: Epic-1 Dharam vs Karam,7.6,1,157.0,Action
Captain Miller,6.5,8,157.0,Action
The Firefighters,5.7,176,106.0,Action
Major Grom: The Game,6.1,1,168.0,Action
Andromeda: 1883,4.1,16,,Action
Raju Gari Ammayi Naidu Gari Abbayi,8.3,3,158.0,Action
Kill Craft,2.3,361,99.0,Action
I Heart Robots,4.6,2,76.0,Action
Bolero,3.2,27,,Action
The Day Everything Changed,7.9,78,97.0,Action
Buying Time,5.3,271,84.0,Action
Rode College,6.6,424,168.0,Action
First Nights at Freddy's,9.3,15,98.0,Action
My Redneck Neighbor: Chapter 2 - Let the Games Begin,6.28638956805216,0,55.0,Action
Day Off,3.7,11,,Action
Buddy,3.9,342,137.0,Action
Yuva,5.8,834,153.0,Action
Turbo,5.9,3,155.0,Action
Operation Hope,7.0,22,,Action
Kuang Bao Ju Xi,6.0,70,75.0,Action
The Martial Avenger,6.28638956805216,0,,Action
Aho Vikramaarka,7.4,53,136.0,Action
The Infallibles,4.8,750,99.0,Action
Dragon Ball Z Kai,8.4,68,82.0,Action
Sabari,8.4,5,129.0,Action
Pottel,8.2,2,148.0,Action
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,200,129.0,Action
What Happens in Miami,4.3,219,90.0,Action
Kung Fu Games,3.3,376,98.0,Action
Bidurbhai,9.2,377,148.0,Action
Bhaje Vaayu Vegam,6.1,550,136.0,Action
Pusaka,6.5,33,90.0,Action
Sous écrous,5.3,34,111.0,Action
Mathu Vadalara 2,7.0,1,139.0,Action
Captain Avispa,5.8,173,96.0,Action
Fyre Rises,6.5,321,110.0,Action
Bull Shark 2,3.0,155,75.0,Action
Bangkok Breaking: Heaven and Hell,5.8,662,146.0,Action
12 Gaun,6.3,883,147.0,Action
In Tenebras: Into the Darkness,3.3,172,90.0,Action
Sentimentaaal,5.8,972,135.0,Action
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,30,50.0,Action
Bonus Trip,4.5,223,113.0,Action
Megdan: Between Water and Fire,5.4,720,106.0,Action
Breaking Tradition,6.9,25,87.0,Action
Spirit Riser,6.7,33,98.0,Action
Rang De Basanti,8.8,144,174.0,Action
Panjab Files,8.0,18,117.0,Action
Mr. Bachchan,3.6,5,150.0,Action
The Avenger,4.2,5,,Action
Kamen Rider 555 20th: Paradise Regained,5.9,141,65.0,Action
Sayen: The Huntress,4.4,253,88.0,Action
Bohurupi,8.3,1,155.0,Action
Neon Fear,6.2,417,40.0,Action
Bhairadevi,8.9,45,134.0,Action
Dark Fusion,8.5,235,90.0,Action
Beneath the Bad,6.28638956805216,0,0.0,Action
Bangkok Dog,5.0,141,85.0,Action
Artist Unknown,8.9,13,82.0,Action
