Title,Rating,Votes,Duration,Genre
348. Witch Hunter,5.2, (23),1h 20m,Action
349. Harom Hara,7.7, (3K),2h 34m,Action
350. Love You to Debt,6.2, (754),2h 15m,Action
351. Purushothamudu,7.4, (13),2h,Action
352. September Babies,5.8, (286),1h 34m,Action
353. Memes & Nightmares,5.7, (84),1h 21m,Action
354. Dirty Money,5.6, (113),1h 40m,Action
355. Black Creek,8.6, (7),1h 56m,Action
356. Go for Broke,5.7, (270),1h 55m,Action
357. Customs Frontline,5.4, (475),1h 55m,Action
358. Conquer: Lahad Datu,6.7, (503),2h,Action
359. Mobile Suit Gundam SEED Freedom,6.6, (943),2h 4m,Action
360. Kadakan,4.0, (112),2h 8m,Action
361. Camp Blood: Clown Shark,3.3, (86),1h 10m,Action
362. Naam,6.3, (276),2h 16m,Action
363. Lal Salaam,4.5, (1.3K),2h 30m,Action
364. Timuchin,5.9, (19),N/A,Action
365. My Fathers' Daughter,6.7, (74),1h 18m,Action
366. Nu Huo 12 Xiao Shi,6.0, (47),1h 26m,Action
367. Hitler,5.2, (304),2h 8m,Action
368. Iron Fighter,3.6, (62),1h 20m,Action
369. Rendel: Cycle of Revenge,3.6, (244),1h 39m,Action
370. Appudo Ippudo Eppudo,4.7, (229),2h,Action
371. Shu Si Yi Bo,6.6, (32),1h 31m,Action
372. Mahadev Ka Gorakhpur,7.8, (368),2h 11m,Action
373. Ballistic,2.3, (161),1h 35m,Action
374. The Experts,6.2, (262),2h 1m,Action
375. The Miranda Brothers,4.4, (189),1h 39m,Action
376. They Call Her Death,6.5, (25),1h 32m,Action
377. Midas,4.6, (337),1h 25m,Action
378. Anunnakiler,2.5, (443),1h 16m,Action
379. Case Files,N/A,N/A,N/A,Action
380. Sikaar,8.3, (676),2h 30m,Action
381. Correr para Vivir,7.0, (195),1h 37m,Action
382. S.T.A.L.K.E.R.: Shadow of the Zone,5.2, (450),1h 12m,Action
383. Mirza: Part 1 - Joker,6.8, (237),2h 45m,Action
384. The Artifact,N/A,N/A,1h 48m,Action
